NOC 2006,Occupation,Skill Level,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0631,Restaurant and Food Service Managers,MGMT,2577.038585812661,-861.87969560503552,66.952009276821627,-255.81874866329599,1209.8195557040017,768.20779974616744,61.574428286439797,185.86902894948435,301.06171895423176,478.96850342393009
0632,Accommodation Service Managers,MGMT,-87.789685172134341,614.72516287354665,90.709267045662273,710.39759671633146,241.89898783992612,-177.3172782244219,256.84063012109982,149.00864841911971,199.48952978465968,118.71051893374533
0712,Residential Home Builders and Renovators,MGMT,-245.33969127931778,2105.3270739008367,1598.2452435639716,522.87553273639787,919.28955539756134,-368.58305354917684,847.84839955800999,487.91196667266922,365.07351950416341,408.99565845101461
1111,Financial Auditors and Accountants,A,-376.59920508910727,2650.0919689239381,1017.5375205306045,2464.7862501719355,-341.10106349537091,474.54276866139844,1080.8248119020136,609.72179576536291,690.22019575550803,433.16532061695762
1114,Other Financial Officers,A,-254.79695084052219,2357.2810707038298,1260.4148105443019,368.60916617102339,1341.7675382302259,-650.65071387351054,1004.7251284410304,438.31779932863719,380.19391810469097,461.98762807557068
1121,Specialists in Human Resources,A,820.16158632573934,794.39427538186283,73.60016557777999,23.217641582828946,638.39687681758369,344.19450372717984,297.67571828528889,137.98272181311768,218.77494567922258,305.50677252804599
1223,Personnel and Recruitment Officers,B,92.599411581029926,-232.69977428260245,499.71534938779223,450.17587688791536,-154.57480740300161,64.879528431032668,78.900795285318964,169.68890476095839,98.118513946586972,40.631089949030866
1224,Property Administrators,B,358.50374143247063,728.86848938251023,238.81404099852989,-402.72201767927072,316.07447940385282,198.04770907595048,186.36272580453988,47.834138994476234,36.608719845171436,148.44015270464297
1226,Conference and Event Planners,B,-62.606359926732694,445.05862164850623,308.61856586361864,194.11711599581758,558.37037228104964,-310.67828339275547,211.91826597737963,139.36191023861829,130.8757481788889,136.40777040887588
1228,"Immigration, Employment Insurance and Revenue Officers",B,-17.672795984894037,259.93386007816116,349.16270183771121,-131.55506250298095,163.21538267091091,83.574740487367308,122.70773381875188,76.442486785985238,39.81118454972966,90.114595912156801
1422,Data Entry Clerks,C,1172.9584808662403,-348.50416132740793,444.80743322192575,-180.3249982677662,43.224252497573616,624.2301657288408,61.795109378737834,115.68010792952191,87.742416996978136,172.35597071282245
1423,Desktop Publishing Operators and Related Occupations,C,-8.7569869707033376,-39.430729351545324,71.952500840383664,73.970529805463229,71.179635668083165,-39.604477716702377,32.310721748735659,44.263893731980716,35.177541605616625,19.895295205291859
1431,Accounting and Related Clerks,C,3824.8580528528983,780.53267175744986,552.33550776143966,80.582403715365217,307.18228249475942,1508.6644221375464,479.56233400164638,304.5631647897826,390.47015051072231,549.74745808212901
1432,Payroll Clerks,C,927.72562951991495,666.73124198168443,640.86980416518418,-59.088894150649139,-446.3130537756042,544.92345757023941,234.51124145697759,114.28328964385219,38.050201969970658,82.505926091198489
1434,"Banking, Insurance and Other Financial Clerks",C,-88.699103697774262,829.35575368791979,554.32258189776985,243.80290315843013,-232.44520303274112,157.31965832843707,399.55412786662419,144.43507761632281,98.619637472547765,96.293751652145147
1435,Collectors,C,406.16503474260935,-263.64809198281546,-208.55666975686836,462.27059191770422,293.75648961955267,41.811075891931978,-17.620658732221273,18.564918051846689,175.45692220652381,94.938194234291586
2122,Forestry Professionals,A,-3.8447437882007307,-16.675557363518692,13.088733443032424,35.867542245309551,34.514266582102209,-19.203800666336065,-11.983780056754085,15.887475651893737,18.180466276155926,7.5956507414813359
2123,"Agricultural Representatives, Consultants and Specialists",A,-4.4044179560038401,-14.205217507278576,31.62369682237113,-14.819872233358637,29.461645980351932,-23.439784665408752,10.371525383118978,14.154756092147068,-2.5410633316654412,10.470512027772543
