NOC 2006,Occupation,Skill Level,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
0011,Legislators,MGMT,36.614303416973861,25.977851177043622,11.582277030422951,11.510119036158457,11.852617476711181,32.783865427130323,13.424617517604347,9.6540403131329136,16.748117830812546,23.866933383757896,
0012,Senior Government Managers and Officials,MGMT,408.36479819835313,286.40192188766866,145.78301895478378,144.81857707032435,192.75516841181798,393.82121962272299,231.04744634342572,209.59970313547007,232.08507409941538,253.28397235596839,
0013,"Senior Managers - Financial, Communications and Other Business Services",MGMT,1619.0066256677533,1245.6589147748386,406.16456290553822,633.08395079783259,820.77858869028557,1527.1690637925835,920.23665473317965,812.74563979065692,934.31025222841288,1008.8958226123801,
0014,"Senior Managers - Health, Education, Social and Community Services and Membership Organizations",MGMT,205.33662526832271,457.8547675228308,516.50742726297676,553.61370389386229,435.68963750094179,169.12759984350242,448.96462395608387,386.65693494013169,367.96693219142674,329.49022105927526,
0015,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",MGMT,65.759074381518701,33.13222194995636,35.172286072256959,105.97434605300084,106.05893029470239,38.176594210297047,32.14967102027105,70.409771040414867,83.980663634865635,76.341103244268893,
0016,"Senior Managers - Goods Production, Utilities, Transportation and Construction",MGMT,422.34896221995621,386.85590574251853,337.07724618384958,208.66742674708735,125.32910614682027,407.79216536980209,284.02213126889387,250.45850406383687,241.19553196721466,250.8136090871709,
0111,Financial Managers,MGMT,734.04377150054643,1805.0760992798023,1788.5808751873788,823.57398588781348,1796.4666783818257,1284.8245292956017,1550.9220696324317,1411.439368732749,1378.8295125458706,1548.2170387193485,
0112,Human Resources Managers,MGMT,331.09722432685606,520.56323547252146,1254.1743427093813,984.26050186520888,473.64403635033739,391.18297560445421,750.34220213364779,759.8583106347304,676.58852484702709,636.24017236637462,
0113,Purchasing Managers,MGMT,381.14923237348353,38.098189429905716,85.112939307313098,48.416636865283635,270.1696736642557,366.79512498318422,126.7154735827792,154.15063295452055,174.79464275744527,227.95796055558583,
0114,Other Administrative Services Managers,MGMT,202.00519500113643,371.76210498620452,681.59832505418444,714.86224566369322,81.093820035141505,109.02896923351364,533.80548790805335,549.52667627173719,492.80199497559732,305.50609118951365,
0121,"Insurance, Real Estate and Financial Brokerage Managers",MGMT,363.0274079260987,719.21437518277867,851.9663860106499,972.68511866867652,494.86048852782903,426.96316731819371,694.74502631845041,665.85870466182564,647.33410746091226,593.90690317611541,
0122,"Banking, Credit and Other Investment Managers",MGMT,874.30981906224497,775.16718375178289,1727.1325419921714,1312.9449256376058,2340.0266748733902,898.00491876656042,1401.5416139911085,1480.3147224477489,1476.6815746906034,1545.2800833191834,
0123,Other Business Services Managers,MGMT,770.56462041064526,231.01864421181483,170.67443081763685,64.021970870419409,338.72214156207963,707.53239112148549,296.34448503824274,296.6745523210796,336.1148824456572,402.03410181885999,
0131,Telecommunication Carriers Managers,MGMT,386.65365958290181,95.546330785498611,323.34531991620827,11.221008098276116,264.44697940182255,259.69501533418725,197.46730997130194,204.34802710297149,182.63106293884994,222.14376807611771,
0132,Postal and Courier Services Managers,MGMT,137.38990551886093,123.75381640347003,18.691492054301897,86.032626027638074,23.253383913671811,108.68401985127821,89.037225314427474,62.011968279090411,72.41825922884135,70.826872798230653,
0211,Engineering Managers,MGMT,412.94941203399799,85.482665801039872,87.455483814351936,27.741082883657072,117.86217949171507,336.43560084119326,124.1891390554033,121.73339505851197,139.77359407238401,196.12807906942388,
0212,Architecture and Science Managers,MGMT,99.240388495110977,157.42473949195534,341.88639118429751,167.81173778592753,342.21000909738052,-31.868753223936892,203.6457275626133,202.43794570204764,184.46845834287487,197.23599260613318,
0213,Computer and Information Systems Managers,MGMT,621.26763534441943,327.22424835881088,1033.774922507469,1436.1407544023716,2039.8498872673299,102.58449620018655,1024.4532215225393,1106.0734384768029,1187.6134876014773,1191.3341835520293,
0311,Managers in Health Care,MGMT,560.40234906541866,1057.951045834081,1242.0667751642823,731.57723016863952,889.66695131907136,633.07483952735856,890.46122416200319,819.61776900925884,759.30390365488552,788.0514870164435,
0312,Administrators - Post-Secondary Education and Vocational Training,MGMT,228.30497215810945,448.13639321722229,506.45528574308514,219.63775996664759,597.87536580447613,118.76837860058333,370.16041637337264,339.12259311430859,315.57694573630795,344.98631265252544,
0313,School Principals and Administrators of Elementary and Secondary Education,MGMT,1160.2101430863509,523.95889155369264,981.80316811342357,396.93481780310299,513.01977590373144,789.13701651122062,620.91567164329376,614.45826518745082,559.54688080269523,611.48121463281029,
0314,"Managers in Social, Community and Correctional Services",MGMT,1129.474762740087,1071.4848065075785,261.06556345418221,345.70880500862916,777.22688866906401,742.38651495006343,620.78885819231505,499.19421832944761,571.77085285484895,636.26476209814189,
0411,Government Managers - Health and Social Policy Development and Program Administration,MGMT,266.74477459655299,201.5058549848784,249.40341860473947,95.891917286806844,49.405497546816164,267.15063008247768,188.72692984576628,177.68402078576315,138.09561328062776,146.66945464752706,
0412,"Government Managers - Economic Analysis, Policy Development and Program Administration",MGMT,325.27076179175759,180.45869038508854,307.44390643602708,67.09239611570834,178.30278321266942,229.90273716575373,213.76358773219076,210.85570943702905,169.90474378871036,208.00300795778915,
0413,Government Managers - Education Policy Development and Program Administration,MGMT,2.7814039352831665,7.4009023818853219,7.9117898625649268,8.2496441459487588,1.6437261918433546,1.9843829492652008,8.7207205509539953,8.5473628592955215,5.7296179895608148,3.7513689656749856,
