NOC 2006,Occupation,Skill Level,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0011,Legislators,MGMT,16.847798135383961,18.259580845381183,18.475717258488068,18.475218518739709,18.023599582917576,18.663290405605277,18.527383188920211,18.042161000509299,18.143174822735901,18.252209241554795
0012,Senior Government Managers and Officials,MGMT,187.90651157356888,203.49698753726611,206.70715686733527,207.48549248798321,205.30751050787148,213.57899037258156,215.78849180481851,214.84782733135404,217.64799600030781,217.35510021207045
0013,"Senior Managers - Financial, Communications and Other Business Services",MGMT,744.02992912260788,810.96480047698469,815.37058301313834,821.46238233997065,815.63589658207445,846.68994114607949,855.65799478033955,851.03724502368254,862.86265161231438,861.93194534073029
0014,"Senior Managers - Health, Education, Social and Community Services and Membership Organizations",MGMT,228.54914176426794,252.61598588131326,272.70044492024005,291.44337396144147,296.38671075525588,289.02800155131018,298.64602865341067,302.02662405788135,308.00366589347288,306.18622188502269
0015,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",MGMT,53.269878807231585,55.44947689378931,56.105825529220859,59.574680739001977,61.409915594814308,60.036672725592574,59.062857818920399,59.437670794489819,61.179819596787496,61.346837008403341
0016,"Senior Managers - Goods Production, Utilities, Transportation and Construction",MGMT,195.16177723504632,215.5210986573687,227.68617444163823,230.94521227887549,224.1920714513048,232.14906195334049,236.1498751030106,236.14257395375097,238.54056227663244,236.92128866089263
0111,Financial Managers,MGMT,884.4099535637215,955.02285481541196,1018.806889964771,1047.3828208992693,1088.6151227528544,1150.0770117474422,1174.9412745869829,1190.6608401115834,1207.198018014841,1247.9660481744224
0112,Human Resources Managers,MGMT,398.4923977091957,422.37958018471841,463.66196380866745,494.44801056216096,502.79070814664954,524.86520976108727,537.55463107920468,548.37118194774109,557.31922505157615,573.56255775846819
0113,Purchasing Managers,MGMT,125.83580630491427,129.95853252002601,134.17070483129712,136.18218931247748,142.63016918408221,156.8776098872406,157.59289571931393,158.58432560334913,160.50324185558935,166.649617029458
0114,Other Administrative Services Managers,MGMT,245.51152952700778,261.61090501266511,284.49288423360809,306.61931509317412,305.47695801905905,314.87322136462535,325.12507989472363,334.52446496476182,342.54874018885056,349.72372863408168
0121,"Insurance, Real Estate and Financial Brokerage Managers",MGMT,426.80891806163959,441.04004601191059,453.09483412160591,479.82653836573292,489.5629505636042,495.03480573137477,502.43453679756328,515.67174460779165,521.26250078454154,524.9765937412775
0122,"Banking, Credit and Other Investment Managers",MGMT,1026.749150271954,1032.863639820735,1053.2018248316899,1086.7451121461374,1146.2810584849267,1155.9188780998988,1166.2930780901133,1194.943880869896,1207.1546887652478,1221.1848357422025
0123,Other Business Services Managers,MGMT,275.03293345772738,277.35913513192929,274.19046515124882,274.54464756772404,281.82419662102154,299.38541834785605,299.98709679534363,304.6839931621692,306.50974553424334,310.38117790018521
0131,Telecommunication Carriers Managers,MGMT,126.77893467306311,142.24626876265185,156.32984265035216,153.51275981189451,161.23540710207021,166.95761468791488,174.44626558743053,174.03517883154959,171.8178134480122,172.83960106572195
0132,Postal and Courier Services Managers,MGMT,44.925167837533429,53.003985466287148,55.133637162704098,56.681229866412835,57.16662318379467,59.732028481938407,63.028367059901598,62.486369110141027,61.914841707451096,61.981533251315362
