#AGGR_TYPE_CD,S_MTCU,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,COLL_RGN_CD,COLL_CD,NAICS_CODE_RANK,NAICS_CODE_PERCENTAGE,NAICS_CODE,NAICS_DESCRIPTION_ENGLISH,NAICS_DESCRIPTION_FRENCH
Cl,-1,A,A01,-1,-1,1,15,512,Motion picture and sound recording industries,Industries du film et de l'enregistrement sonore
Cl,-1,A,A01,-1,-1,2,15,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A01,-1,-1,3,10,515,Broadcasting (except internet),Radiotélévision (sauf par Internet)
Cl,-1,A,A01,-1,-1,4,8,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A01,-1,-1,5,4,445,Food and beverage stores,Magasins d'alimentation
Cl,-1,A,A02,-1,-1,1,21,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A02,-1,-1,2,17,711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes"
Cl,-1,A,A02,-1,-1,3,9,611,Educational services,Services d'enseignement
Cl,-1,A,A02,-1,-1,4,6,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A02,-1,-1,5,4,445,Food and beverage stores,Magasins d'alimentation
Cl,-1,A,A03,-1,-1,1,32,812,Personal and laundry services,Services personnels et services de blanchissage
Cl,-1,A,A03,-1,-1,2,20,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A03,-1,-1,3,8,446,Health and personal care stores,Magasins de produits de santé et de soins personnels
Cl,-1,A,A03,-1,-1,4,8,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A03,-1,-1,5,5,452,General merchandise stores,Magasins de marchandises diverses
Cl,-1,A,A04,-1,-1,1,36,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A04,-1,-1,2,7,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A04,-1,-1,3,5,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A04,-1,-1,4,4,442,Furniture and home furnishings stores,Magasins de meubles et d'accessoires de maison
Cl,-1,A,A04,-1,-1,5,4,444,Building material and garden equipment and supplies dealers,Marchands de matériaux de construction et de matériel et fournitures de jardinage
Cl,-1,A,A05,-1,-1,1,15,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A05,-1,-1,2,8,712,Heritage institutions,Établissements du patrimoine
Cl,-1,A,A05,-1,-1,3,7,445,Food and beverage stores,Magasins d'alimentation
Cl,-1,A,A05,-1,-1,4,7,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A05,-1,-1,5,6,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A06,-1,-1,1,27,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A06,-1,-1,2,11,711,"Performing arts, spectator sports and related industries","Arts d'interprétation, sports-spectacles et activités connexes"
Cl,-1,A,A06,-1,-1,3,10,339,Miscellaneous manufacturing,Activités diverses de fabrication
Cl,-1,A,A06,-1,-1,3,10,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A06,-1,-1,5,5,611,Educational services,Services d'enseignement
Cl,-1,A,A07,-1,-1,1,27,323,Printing and related support activities,Impression et activités connexes de soutien
Cl,-1,A,A07,-1,-1,2,15,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A07,-1,-1,3,12,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A07,-1,-1,4,9,611,Educational services,Services d'enseignement
Cl,-1,A,A07,-1,-1,5,6,511,Publishing industries (except internet),Édition (sauf par Internet)
Cl,-1,A,A08,-1,-1,1,42,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A08,-1,-1,2,9,111,Crop production,Cultures agricoles
Cl,-1,A,A08,-1,-1,3,8,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A08,-1,-1,4,6,453,Miscellaneous store retailers,Magasins de détail divers
Cl,-1,A,A08,-1,-1,5,5,444,Building material and garden equipment and supplies dealers,Marchands de matériaux de construction et de matériel et fournitures de jardinage
Cl,-1,A,A09,-1,-1,1,21,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A09,-1,-1,2,8,445,Food and beverage stores,Magasins d'alimentation
Cl,-1,A,A09,-1,-1,3,6,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A09,-1,-1,4,5,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A09,-1,-1,5,4,452,General merchandise stores,Magasins de marchandises diverses
Cl,-1,A,A10,-1,-1,1,24,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A10,-1,-1,2,10,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A10,-1,-1,3,6,445,Food and beverage stores,Magasins d'alimentation
Cl,-1,A,A10,-1,-1,4,4,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A10,-1,-1,5,3,452,General merchandise stores,Magasins de marchandises diverses
Cl,-1,A,A11,-1,-1,1,30,611,Educational services,Services d'enseignement
Cl,-1,A,A11,-1,-1,2,24,519,Other information services,Autres services d'information
Cl,-1,A,A11,-1,-1,3,5,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A11,-1,-1,4,5,911,Federal government public administration,Administration publique fédérale
Cl,-1,A,A11,-1,-1,5,4,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A12,-1,-1,1,62,624,Social assistance,Assistance sociale
Cl,-1,A,A12,-1,-1,2,22,611,Educational services,Services d'enseignement
Cl,-1,A,A12,-1,-1,3,3,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A12,-1,-1,4,1,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A12,-1,-1,5,1,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A12,-1,-1,5,1,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A13,-1,-1,1,28,624,Social assistance,Assistance sociale
Cl,-1,A,A13,-1,-1,2,21,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A13,-1,-1,3,17,611,Educational services,Services d'enseignement
Cl,-1,A,A13,-1,-1,4,6,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A13,-1,-1,5,4,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A14,-1,-1,1,32,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A14,-1,-1,2,27,624,Social assistance,Assistance sociale
Cl,-1,A,A14,-1,-1,3,16,611,Educational services,Services d'enseignement
Cl,-1,A,A14,-1,-1,4,5,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A14,-1,-1,5,4,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A15,-1,-1,1,26,713,"Amusement, gambling and recreation industries","Divertissement, loisirs, jeux de hasard et loteries"
Cl,-1,A,A15,-1,-1,2,13,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A15,-1,-1,3,7,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A15,-1,-1,4,5,624,Social assistance,Assistance sociale
Cl,-1,A,A15,-1,-1,5,5,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,A,A16,-1,-1,1,27,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,A,A16,-1,-1,2,8,813,"Religious, grant-making, civic, and professional and similar organizations","Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires"
Cl,-1,A,A16,-1,-1,3,7,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,A,A16,-1,-1,4,5,611,Educational services,Services d'enseignement
Cl,-1,A,A16,-1,-1,5,3,448,Clothing and clothing accessories stores,Magasins de vêtements et d'accessoires vestimentaires
Cl,-1,A,A16,-1,-1,5,3,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,A,A17,-1,-1,1,27,624,Social assistance,Assistance sociale
Cl,-1,A,A17,-1,-1,2,16,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,A,A17,-1,-1,3,7,621,Ambulatory health care services,Services de soins de santé ambulatoires
